ts,t0,t1,p_normal,p_anomaly,pred_label,gt_label,threshold,lat_sched_ms,lat_compute_ms
0.001,0,0.001,0.999997,3.40612e-06,normal,normal,0.7,48.075000,0.000000
0.002,0.001,0.002,0.999915,8.45019e-05,normal,normal,0.7,70.236200,0.000000
0.003,0.002,0.003,0.999993,6.57796e-06,normal,normal,0.7,24.804800,0.000000
0.004,0.003,0.004,0.999993,6.57796e-06,normal,normal,0.7,24.208800,0.000000
0.005,0.004,0.005,0.999991,9.39523e-06,normal,normal,0.7,17.096700,0.000000
0.006,0.005,0.006,0.998936,0.00106442,normal,normal,0.7,20.074700,0.000000
0.007,0.006,0.007,0.999092,0.000907643,normal,normal,0.7,11.015600,0.000000
0.008,0.007,0.008,0.99941,0.000590335,normal,normal,0.7,37.373800,2.006200
0.009,0.008,0.009,0.998936,0.00106442,normal,normal,0.7,29.460600,0.000000
0.01,0.009,0.01,0.998936,0.00106442,normal,normal,0.7,36.874900,0.000000
0.011,0.01,0.011,0.999382,0.000618168,normal,normal,0.7,27.738400,0.000000
0.012,0.011,0.012,0.996029,0.00397072,normal,normal,0.7,34.968900,0.000000
0.013,0.012,0.013,0.998792,0.00120813,normal,normal,0.7,27.250900,0.998900
0.014,0.013,0.014,0.998174,0.00182607,normal,normal,0.7,27.558200,0.000000
0.015,0.014,0.015,0.99941,0.000590335,normal,normal,0.7,31.915100,0.000000
0.016,0.015,0.016,0.99861,0.00139003,normal,normal,0.7,21.849800,0.000000
0.017,0.016,0.017,0.99861,0.00139003,normal,normal,0.7,21.168900,0.000000
0.018,0.017,0.018,0.99861,0.00139003,normal,normal,0.7,20.621900,0.000000
0.019,0.018,0.019,0.998792,0.00120813,normal,normal,0.7,19.635700,0.000000
0.02,0.019,0.02,0.998174,0.00182607,normal,normal,0.7,23.822900,0.000000
0.021,0.02,0.021,0.999607,0.000392589,normal,normal,0.7,20.998300,0.000000
0.022,0.021,0.022,0.98828,0.0117196,normal,normal,0.7,27.225000,0.000000
0.023,0.022,0.023,0.998174,0.00182607,normal,normal,0.7,15.399900,0.000000
0.024,0.023,0.024,0.998174,0.00182607,normal,normal,0.7,18.688700,0.000000
0.025,0.024,0.025,0.998174,0.00182607,normal,normal,0.7,17.977100,0.000000
0.026,0.025,0.026,0.998392,0.00160793,normal,normal,0.7,24.582200,0.000000
0.027,0.026,0.027,0.998984,0.00101616,normal,normal,0.7,20.673400,0.000000
0.028,0.027,0.028,0.998174,0.00182607,normal,normal,0.7,15.105800,0.000000
0.029,0.028,0.029,0.998174,0.00182607,normal,normal,0.7,15.993100,0.999500
0.03,0.029,0.03,0.998174,0.00182607,normal,normal,0.7,15.116100,0.000000
0.031,0.03,0.031,0.998913,0.00108717,normal,normal,0.7,21.176300,0.000000
0.032,0.031,0.032,0.989447,0.0105535,normal,normal,0.7,29.522800,0.999200
